node_id,grid_region_id
42465298,166
42465296,166
42465294,166
42465292,166
42465288,166
42465284,166
42465281,166
42465279,166
42465276,166
42465273,166
42465270,166
42465267,166
42465265,166
42465263,166
42465262,166
42465260,166
42465257,166
42465253,166
42465250,166
254801619,236
42465246,166
42465238,166
42465236,166
254801605,316
42465234,166
254801604,316
42465233,166
254801603,316
42465230,166
100661124,210
291763853,132
254801594,316
42465223,185
42465221,185
42465208,182
42465201,182
42465198,182
42465196,183
42465194,183
42465191,183
42465185,183
42465181,183
42465179,183
42465176,183
42465173,183
42465170,183
42465165,183
42465162,183
42465158,183
254801527,315
42465156,183
42465151,183
42465147,184
42465145,184
42465143,184
42465141,184
42465138,184
42465135,184
42465132,184
42465128,184
42465117,184
42465114,184
42465111,184
42465107,185
42465105,185
42465104,185
42465102,185
42465099,185
42465096,185
42465094,185
291763714,132
42465082,226
42465078,226
42465072,226
42465069,226
42465062,226
42465047,226
42465043,206
42465040,206
42465036,206
42465033,206
42465027,206
42465019,206
42465016,206
42465011,206
42465008,206
42465002,206
42464999,206
254801367,276
254801366,277
42464995,206
42464991,206
42464985,206
42464982,186
42464977,186
42464975,186
42464972,186
42464967,186
42464964,186
279180695,367
42464960,186
279180691,367
42464958,186
42464955,186
42464953,186
42464945,186
254801315,377
42464941,186
42464938,186
42464936,186
42464934,186
42464932,186
42464930,186
42464925,186
42464923,166
42464918,166
254801285,338
254801251,378
254801245,258
42464866,166
42464864,166
42464856,167
42464855,167
42464854,167
42464852,167
254801220,378
42464848,167
42464847,167
42464834,167
42464827,167
254801197,315
254801188,315
254801187,315
254801186,378
42464815,246
42464813,246
42464811,246
42464810,246
42464809,246
42464808,246
254801178,378
254801176,378
42464804,246
42464803,246
42464802,246
42464800,246
42464798,246
42464796,246
42464794,246
42464789,246
42464786,246
42464782,246
42464779,246
42464776,246
254801144,357
42464773,246
42464770,246
42464767,246
42464764,246
42464761,246
42464758,246
254801126,357
42464754,246
279180419,367
42464682,246
42464679,226
42464677,226
42464676,226
42464674,226
42464672,226
42464669,226
42464655,165
291763279,131
291763265,132
2858414628,272
42464628,167
42464621,167
1764748511,234
42464610,167
42464589,146
42464586,146
42464580,146
42464576,146
42464570,146
42464564,186
42464562,186
42464560,186
42464557,186
42464553,147
42464551,147
42464548,187
42464546,187
291763173,132
42464543,187
42464542,187
42464538,187
254800908,255
42464525,167
42464524,167
42464517,203
254800887,318
42464516,203
42464514,203
42464511,204
42464509,204
42464482,204
42464478,204
42464475,204
42464472,184
42464469,184
42464467,184
42464463,185
42464460,185
42464457,185
42464454,185
42464452,185
42464445,185
42464444,185
42464442,185
42464439,184
42464435,184
42464434,184
42464433,184
42464429,185
42464419,208
42464415,208
42464411,208
254800781,258
254800780,258
42464409,208
42464407,202
42464406,202
42464389,202
42464388,202
42464386,202
42464385,182
42464383,182
42464381,182
42464380,182
42464377,182
42464374,182
1344007678,314
42464368,182
42464365,182
279180087,367
42464355,182
279180080,367
42464344,226
254800712,237
42464341,226
254800711,237
42464321,202
42464297,208
42464292,188
42464290,188
42464273,188
254800593,277
42464209,207
254800568,297
42464160,162
279179882,367
42464128,162
279179809,367
42464075,246
42464054,246
279179736,367
100659881,231
254800322,317
254800314,277
254800311,277
254800302,277
254800294,358
254800284,358
279179635,367
42463891,145
279179579,367
279179556,367
42463817,143
279179525,368
279179521,368
42463727,147
42463713,143
254800074,315
254800072,259
254800059,236
254800054,236
42463657,146
42463651,146
42463626,163
42463605,124
479719230,187
2321281210,111
