node_id,grid_region_id
42432071,168
42432073,168
42432075,168
42432077,168
42432078,168
42432082,168
42432083,168
42432085,168
42432089,168
42432091,168
42432094,168
42432095,168
42432097,168
42432099,168
42432102,168
42432103,168
42432108,168
42432111,168
42432127,148
42432135,148
42432142,148
42432148,148
42432152,148
42432156,148
42432161,148
42432165,148
42432171,148
42432174,148
42432178,168
42432181,168
42432184,168
42432194,148
42432199,148
42432201,148
42432205,149
42432208,149
42432211,149
42432214,149
42432220,213
42432226,213
42432228,213
42432238,148
42432241,148
42432244,148
42432246,148
42432250,148
42432282,148
42432302,168
42432305,168
42432308,168
42432324,211
42432352,191
42432376,191
42432395,191
42432436,169
42432438,169
42432444,169
42432451,169
42432458,169
42432464,169
42432540,169
42432548,189
42432556,170
42432558,170
42432564,170
42432572,170
42432580,169
42432585,169
42432589,169
42432594,170
42432598,170
42432659,212
42432665,212
42432669,212
42432679,147
42432693,169
42432700,169
42432703,169
42432706,169
42432720,213
42432722,213
42432736,191
42432737,191
42432744,191
42432756,191
42432764,191
42432789,214
42432795,214
42432799,214
42432802,214
42432805,214
42432818,170
42432825,170
42432834,169
42432847,189
42432856,189
42432861,189
42432867,189
42432875,189
42432882,214
42432894,191
42432897,191
42432900,191
42432905,191
42432917,191
42432926,191
42432928,191
42432929,191
42432931,191
42432932,191
42432933,192
42432936,192
42432949,192
42432950,192
42432954,192
42432956,192
42432957,192
42432960,192
42432961,192
42432963,192
42432966,212
42432967,212
42432970,212
42432974,212
42432975,212
42432980,212
42432983,212
42432985,212
42432990,212
42432992,212
42432994,212
42432999,212
42433011,212
42433017,212
42433020,212
42433024,213
42433027,213
42433030,213
42433041,213
42433044,213
42433046,213
42433057,213
42433058,213
42433060,213
42433062,213
42433064,213
42433066,213
42433068,213
42433069,213
42433072,213
42433075,213
42433077,213
42433080,213
42433097,213
42433107,213
42433115,213
42433151,213
42433163,191
42433165,191
42433173,191
42433205,147
42433229,147
42433237,147
42433243,147
42433252,191
42433256,171
42433261,148
42433264,148
42433269,148
42433272,148
42433275,148
42433278,148
42433281,148
42433282,148
42433292,168
42433295,168
42433298,168
42433302,147
42433324,167
42433330,147
42433339,212
42433346,213
42433350,213
42433376,210
42433377,210
42433385,210
42433404,210
42433408,210
42433490,210
42433510,211
42433513,211
42433526,211
42433537,148
42433539,168
42433542,168
42433547,168
42433549,168
42433550,168
42433551,168
42433553,168
42433554,168
42433564,170
